Iteration	1	2	3	4	5	6	7	simmap
0	{2,2}	{1,0.210341:5,0.962762:2,0.826898}	{3,5.66821:10,0.331786}	{4,10}	{2,4}	{14,1.94929:10,0.889244:4,1.16147}	{4,0}	(n3:{4,10},(n2:{3,5.66821:10,0.331786},(n0:{1,0.210341:5,0.962762:2,0.826898},n1:{2,2}):{2,4}):{14,1.94929:10,0.889244:4,1.16147});
100	{2,0.121335:5,0.00306993:1,0.0564601:5,0.00794597:1,0.629657:5,0.0054958:2,0.474151:5,0.00274865:2,0.150776:5,0.00324376:1,0.303149:5,0.00478361:1,0.135223:5,0.00890905:2,0.0244777}	{1,0.945588:5,0.00116711:2,0.169858:5,0.00136301:2,0.553377:5,0.0158676:1,0.0537341:5,0.00286879:1,0.0388543:5,0.0159457:2,0.132803}	{3,2.64396:7,0.00280381:3,0.102764:7,0.00065734:2,0.0553494:7,0.0112068:3,0.0581725:7,0.000115885:3,0.0891782:7,0.00106472:3,0.800405:7,0.00770863:3,1.24269}	{4,1.97196:0,5.97119:4,1.90499:10,0.000578517:4,0.458299}	{2,0.160037:7,0.0225907:3,0.254959:7,0.0291462:3,0.560521:7,0.0041861:3,0.397482:7,0.00357532:2,0.314511:7,0.0081062:3,0.257228:7,0.00844337:3,1.06386}	{3,0.0132081:7,0.0080261:3,0.176035:7,0.0146939:2,0.744582:7,0.00431341:3,0.158552:7,0.029109:3,0.424948:7,0.0179044:3,0.148994:7,0.00235022:3,0.650827:7,0.0021329:2,0.189565:7,0.0177185:2,0.161464:7,0.00931246:3,0.0301881:7,0.0100795:3,0.0565654:7,0.0104488:3,0.305658:10,0.00924249:3,0.104601:10,0.0112823:4,1.17429:10,0.0051614:4,0.182378:10,0.0070606:4,0.326168:10,0.0152657:4,0.268826}	{4,0}	((n2:{3,2.64396:7,0.00280381:3,0.102764:7,0.00065734:2,0.0553494:7,0.0112068:3,0.0581725:7,0.000115885:3,0.0891782:7,0.00106472:3,0.800405:7,0.00770863:3,1.24269},(n0:{1,0.945588:5,0.00116711:2,0.169858:5,0.00136301:2,0.553377:5,0.0158676:1,0.0537341:5,0.00286879:1,0.0388543:5,0.0159457:2,0.132803},n1:{2,0.121335:5,0.00306993:1,0.0564601:5,0.00794597:1,0.629657:5,0.0054958:2,0.474151:5,0.00274865:2,0.150776:5,0.00324376:1,0.303149:5,0.00478361:1,0.135223:5,0.00890905:2,0.0244777}):{2,0.160037:7,0.0225907:3,0.254959:7,0.0291462:3,0.560521:7,0.0041861:3,0.397482:7,0.00357532:2,0.314511:7,0.0081062:3,0.257228:7,0.00844337:3,1.06386}):{3,0.0132081:7,0.0080261:3,0.176035:7,0.0146939:2,0.744582:7,0.00431341:3,0.158552:7,0.029109:3,0.424948:7,0.0179044:3,0.148994:7,0.00235022:3,0.650827:7,0.0021329:2,0.189565:7,0.0177185:2,0.161464:7,0.00931246:3,0.0301881:7,0.0100795:3,0.0565654:7,0.0104488:3,0.305658:10,0.00924249:3,0.104601:10,0.0112823:4,1.17429:10,0.0051614:4,0.182378:10,0.0070606:4,0.326168:10,0.0152657:4,0.268826},n3:{4,1.97196:0,5.97119:4,1.90499:10,0.000578517:4,0.458299});
200	{2,0.713426:5,0.0325117:1,1.02492}	{1,0.0215612:5,0.0176223:2,0.307023:5,0.0350477:2,0.149174:5,0.00692731:1,1.2335}	{3,4.72005:7,0.0332972:3,0.104357}	{4,10.1075}	{1,0.0836879:5,0.00835428:2,0.570149:7,0.0172956:3,2.40735}	{3,0.971304:7,0.0358516:3,1.16081:7,0.0176693:3,0.421004:7,0.0152881:3,2.33171:10,0.108097:4,0.188068}	{4,0}	(((n1:{2,0.713426:5,0.0325117:1,1.02492},n0:{1,0.0215612:5,0.0176223:2,0.307023:5,0.0350477:2,0.149174:5,0.00692731:1,1.2335}):{1,0.0836879:5,0.00835428:2,0.570149:7,0.0172956:3,2.40735},n2:{3,4.72005:7,0.0332972:3,0.104357}):{3,0.971304:7,0.0358516:3,1.16081:7,0.0176693:3,0.421004:7,0.0152881:3,2.33171:10,0.108097:4,0.188068},n3:{4,10.1075});
300	{2,0.110411:5,0.00276779:1,0.735229:5,0.00914157:1,0.228089:5,0.00611963:1,0.417588}	{1,1.50935}	{3,3.22497:7,0.00141598:2,0.692202}	{4,1.93723:0,6.13555:4,0.518353:10,0.00393263:4,0.0871493:10,0.00247603:3,0.551624:10,0.0349619:4,0.422203:10,0.00922908:4,0.05596}	{1,0.0709095:5,0.00707359:2,1.3123:7,0.00234286:2,1.01661}	{0,4.14349:3,1.62609:10,0.00334328:4,0.0671686}	{4,0}	(((n1:{2,0.110411:5,0.00276779:1,0.735229:5,0.00914157:1,0.228089:5,0.00611963:1,0.417588},n0:{1,1.50935}):{1,0.0709095:5,0.00707359:2,1.3123:7,0.00234286:2,1.01661},n2:{3,3.22497:7,0.00141598:2,0.692202}):{0,4.14349:3,1.62609:10,0.00334328:4,0.0671686},n3:{4,1.93723:0,6.13555:4,0.518353:10,0.00393263:4,0.0871493:10,0.00247603:3,0.551624:10,0.0349619:4,0.422203:10,0.00922908:4,0.05596});
400	{2,1.74316}	{1,1.32091:5,0.0293987:1,0.0379068:5,0.0408659:2,0.314073}	{3,2.26433:7,0.0853979:2,2.44086}	{4,8.7541:10,0.0305987:3,0.141874:10,0.0168387:4,0.829591}	{2,0.364755:7,0.153592:2,2.52908}	{2,2.42669:7,0.0028115:3,1.20341:10,0.04179:4,1.30772}	{4,0}	(((n1:{2,1.74316},n0:{1,1.32091:5,0.0293987:1,0.0379068:5,0.0408659:2,0.314073}):{2,0.364755:7,0.153592:2,2.52908},n2:{3,2.26433:7,0.0853979:2,2.44086}):{2,2.42669:7,0.0028115:3,1.20341:10,0.04179:4,1.30772},n3:{4,8.7541:10,0.0305987:3,0.141874:10,0.0168387:4,0.829591});
500	{2,1.45207}	{1,0.232634:5,0.174052:2,0.249918:5,0.0251715:2,0.176366:5,0.0647381:2,0.529194}	{3,1.81449:7,0.0220212:3,0.386501:7,0.213452:2,0.0683399:7,0.137601:2,0.0498475:7,0.00865211:2,1.42567}	{4,10.0245}	{2,0.519482:7,0.0743913:3,0.506187:7,0.114298:2,1.46014}	{2,2.04693:7,0.194557:2,0.845983:7,0.0804958:2,0.188394:7,0.0293074:2,0.00677659:7,0.0319002:3,0.58304:10,0.0454251:4,1.17927:10,0.292682:4,0.373137}	{4,0}	(((n1:{2,1.45207},n0:{1,0.232634:5,0.174052:2,0.249918:5,0.0251715:2,0.176366:5,0.0647381:2,0.529194}):{2,0.519482:7,0.0743913:3,0.506187:7,0.114298:2,1.46014},n2:{3,1.81449:7,0.0220212:3,0.386501:7,0.213452:2,0.0683399:7,0.137601:2,0.0498475:7,0.00865211:2,1.42567}):{2,2.04693:7,0.194557:2,0.845983:7,0.0804958:2,0.188394:7,0.0293074:2,0.00677659:7,0.0319002:3,0.58304:10,0.0454251:4,1.17927:10,0.292682:4,0.373137},n3:{4,10.0245});
600	{2,1.70577}	{1,0.118302:5,0.0199593:1,1.04561:5,0.0253831:2,0.49651}	{3,2.52669:7,0.00969291:2,1.31682}	{4,9.79365}	{2,2.14744}	{2,1.74029:7,0.0564842:2,2.01331:7,0.0162606:3,0.580438:10,0.108053:4,1.42562}	{4,0}	(((n1:{2,1.70577},n0:{1,0.118302:5,0.0199593:1,1.04561:5,0.0253831:2,0.49651}):{2,2.14744},n2:{3,2.52669:7,0.00969291:2,1.31682}):{2,1.74029:7,0.0564842:2,2.01331:7,0.0162606:3,0.580438:10,0.108053:4,1.42562},n3:{4,9.79365});
700	{2,0.0551033:5,0.00444491:2,0.293002:5,0.120581:2,0.886191}	{1,0.208041:5,0.0392496:1,0.257064:5,0.0799069:2,0.775061}	{3,2.39207:7,0.0239922:3,0.421242:7,0.125038:2,0.20692}	{4,9.79949}	{2,0.371868:5,0.0825419:2,1.35553}	{2,0.0699461:7,0.212997:3,0.00847496:7,0.0311091:3,1.23637:7,0.093096:2,0.316943:7,0.162092:3,0.619904:7,0.0964949:2,0.887411:7,0.0133581:3,2.56563:10,0.193508:4,0.122893}	{4,0}	((n2:{3,2.39207:7,0.0239922:3,0.421242:7,0.125038:2,0.20692},(n0:{1,0.208041:5,0.0392496:1,0.257064:5,0.0799069:2,0.775061},n1:{2,0.0551033:5,0.00444491:2,0.293002:5,0.120581:2,0.886191}):{2,0.371868:5,0.0825419:2,1.35553}):{2,0.0699461:7,0.212997:3,0.00847496:7,0.0311091:3,1.23637:7,0.093096:2,0.316943:7,0.162092:3,0.619904:7,0.0964949:2,0.887411:7,0.0133581:3,2.56563:10,0.193508:4,0.122893},n3:{4,9.79949});
800	{2,0.432258:5,0.0181892:2,0.0529634:5,0.0355747:1,0.0402197:5,0.0476345:2,0.677869}	{1,0.775308:5,0.0375424:2,0.491858}	{3,1.98011:7,0.0153845:3,0.102543:7,0.0504941:2,0.97597:7,0.00922825:2,0.235019:7,0.0364046:3,0.135342:7,0.00148504:2,0.0490489}	{4,8.64361}	{2,0.290757:5,0.0210229:2,0.321871:7,0.0257729:2,0.249856:7,0.00256094:2,1.06746:7,0.0250208:2,0.282}	{2,0.448009:7,0.0089913:3,3.95894:10,0.0376013:4,0.406162:10,0.0157072:4,0.177174}	{4,0}	(((n1:{2,0.432258:5,0.0181892:2,0.0529634:5,0.0355747:1,0.0402197:5,0.0476345:2,0.677869},n0:{1,0.775308:5,0.0375424:2,0.491858}):{2,0.290757:5,0.0210229:2,0.321871:7,0.0257729:2,0.249856:7,0.00256094:2,1.06746:7,0.0250208:2,0.282},n2:{3,1.98011:7,0.0153845:3,0.102543:7,0.0504941:2,0.97597:7,0.00922825:2,0.235019:7,0.0364046:3,0.135342:7,0.00148504:2,0.0490489}):{2,0.448009:7,0.0089913:3,3.95894:10,0.0376013:4,0.406162:10,0.0157072:4,0.177174},n3:{4,8.64361});
900	{2,0.76906:5,0.0089721:2,0.340977}	{1,0.681479:5,0.0733024:2,0.364228}	{3,3.53986:7,0.0068123:2,0.345141}	{4,8.25875:10,0.0161096:3,0.654857:10,0.181953:4,0.208995}	{2,0.531134:5,0.0457695:2,0.54218:7,0.0296645:3,0.84647:7,0.0628873:3,0.385901:7,0.0288286:2,0.299973}	{2,0.199298:7,0.00821564:3,0.147867:7,0.0211299:3,0.370609:7,0.0038787:2,0.384766:7,0.025816:2,0.0282089:7,0.0523349:3,0.000890818:7,0.0234165:3,0.188896:7,0.0498623:3,0.20327:7,0.0252741:3,0.0437465:7,0.0570359:3,1.3048:7,0.00905364:3,0.709912:7,0.0578661:3,0.14945:10,0.0981272:4,1.26512}	{4,0}	(((n0:{1,0.681479:5,0.0733024:2,0.364228},n1:{2,0.76906:5,0.0089721:2,0.340977}):{2,0.531134:5,0.0457695:2,0.54218:7,0.0296645:3,0.84647:7,0.0628873:3,0.385901:7,0.0288286:2,0.299973},n2:{3,3.53986:7,0.0068123:2,0.345141}):{2,0.199298:7,0.00821564:3,0.147867:7,0.0211299:3,0.370609:7,0.0038787:2,0.384766:7,0.025816:2,0.0282089:7,0.0523349:3,0.000890818:7,0.0234165:3,0.188896:7,0.0498623:3,0.20327:7,0.0252741:3,0.0437465:7,0.0570359:3,1.3048:7,0.00905364:3,0.709912:7,0.0578661:3,0.14945:10,0.0981272:4,1.26512},n3:{4,8.25875:10,0.0161096:3,0.654857:10,0.181953:4,0.208995});
1000	{2,1.29972}	{1,1.15532:5,0.0204965:2,0.123906}	{3,2.25513:7,0.0967239:3,1.74584:7,0.170072:3,0.312437}	{4,8.31941}	{2,0.18187:5,0.150049:2,1.20791:7,0.00146445:3,0.512175:7,0.046257:3,0.252508:7,0.138971:2,0.0604159:7,0.0742317:3,0.654635}	{3,0.420801:7,0.04268:2,1.63129:7,0.109165:3,1.17273:10,0.0286919:4,0.333844}	{4,0}	(((n0:{1,1.15532:5,0.0204965:2,0.123906},n1:{2,1.29972}):{2,0.18187:5,0.150049:2,1.20791:7,0.00146445:3,0.512175:7,0.046257:3,0.252508:7,0.138971:2,0.0604159:7,0.0742317:3,0.654635},n2:{3,2.25513:7,0.0967239:3,1.74584:7,0.170072:3,0.312437}):{3,0.420801:7,0.04268:2,1.63129:7,0.109165:3,1.17273:10,0.0286919:4,0.333844},n3:{4,8.31941});
1100	{2,1.73415}	{1,0.908153:5,0.0915257:2,0.734466}	{3,2.73053:7,0.0427759:2,1.90928:7,0.000581054:2,0.130319:7,0.00822473:2,0.331509}	{4,9.74002}	{2,1.20363:7,0.00834215:2,1.55793:7,0.0305272:2,0.618647}	{2,0.0722608:7,0.00349755:2,0.501337:7,0.0479772:2,0.758648:7,0.00391965:3,0.185817:7,0.00560762:3,1.57757:10,0.033574:4,1.39659}	{4,0}	((n2:{3,2.73053:7,0.0427759:2,1.90928:7,0.000581054:2,0.130319:7,0.00822473:2,0.331509},(n0:{1,0.908153:5,0.0915257:2,0.734466},n1:{2,1.73415}):{2,1.20363:7,0.00834215:2,1.55793:7,0.0305272:2,0.618647}):{2,0.0722608:7,0.00349755:2,0.501337:7,0.0479772:2,0.758648:7,0.00391965:3,0.185817:7,0.00560762:3,1.57757:10,0.033574:4,1.39659},n3:{4,9.74002});
1200	{2,0.999893:5,0.00967784:2,1.08969:7,0.165461:2,0.341827}	{1,1.23406:5,0.0269834:2,1.3455}	{3,1.84306:7,0.142116:2,1.68353:7,0.116102:2,0.206017:7,0.168541:2,2.11104}	{4,8.38397:10,0.168245:4,0.621557}	{2,1.12361:7,0.0109057:3,0.285646:7,0.0507909:2,0.131314:7,0.126347:3,0.528885:7,0.188573:3,0.0969883:7,0.0978154:2,0.115718:7,0.0582245:2,0.849027}	{2,0.443219:7,0.0388051:3,0.0663552:7,0.018418:2,0.103588:7,0.252476:3,1.381:10,0.0902963:4,0.509209}	{4,0}	(((n0:{1,1.23406:5,0.0269834:2,1.3455},n1:{2,0.999893:5,0.00967784:2,1.08969:7,0.165461:2,0.341827}):{2,1.12361:7,0.0109057:3,0.285646:7,0.0507909:2,0.131314:7,0.126347:3,0.528885:7,0.188573:3,0.0969883:7,0.0978154:2,0.115718:7,0.0582245:2,0.849027},n2:{3,1.84306:7,0.142116:2,1.68353:7,0.116102:2,0.206017:7,0.168541:2,2.11104}):{2,0.443219:7,0.0388051:3,0.0663552:7,0.018418:2,0.103588:7,0.252476:3,1.381:10,0.0902963:4,0.509209},n3:{4,8.38397:10,0.168245:4,0.621557});
1300	{0,2.01003:2,0.0882304:0,0.759213:2,0.107063}	{0,2.00912:2,0.0891392:0,0.829894:2,0.0363822}	{0,1.99372:3,0.104547:0,4.13802:3,1.26556}	{0,2.06336:4,0.0349048:0,5.31147:4,0.391496:0,1.86121:4,0.188587:0,0.519902:4,0.0105166}	{0,4.53398:3,0.00331783}	{0,0.295052:3,0.00433863:0,1.8924:4,0.157396:0,0.488808:4,0.0416106}	{4,0}	((n2:{0,1.99372:3,0.104547:0,4.13802:3,1.26556},(n1:{0,2.01003:2,0.0882304:0,0.759213:2,0.107063},n0:{0,2.00912:2,0.0891392:0,0.829894:2,0.0363822}):{0,4.53398:3,0.00331783}):{0,0.295052:3,0.00433863:0,1.8924:4,0.157396:0,0.488808:4,0.0416106},n3:{0,2.06336:4,0.0349048:0,5.31147:4,0.391496:0,1.86121:4,0.188587:0,0.519902:4,0.0105166});
1400	{2,0.985934:5,0.018505:2,0.930206}	{1,0.808389:5,0.0216248:1,0.411253:5,0.188023:1,0.233664:5,0.173203:2,0.0984886}	{3,3.01907:7,0.000859252:2,0.211989:7,0.0802774:3,2.04843:7,0.0203866:3,0.909835}	{4,8.49277:10,0.0840075:4,0.986603}	{2,2.47564:7,0.2323:2,0.64075:7,0.178318:3,0.829195}	{3,0.172471:7,0.125682:2,1.15816:7,0.10957:3,0.979438:10,0.0364724:4,0.0617493:10,0.0266356:4,0.355445:10,0.161269:4,0.0856359}	{4,0}	(((n0:{1,0.808389:5,0.0216248:1,0.411253:5,0.188023:1,0.233664:5,0.173203:2,0.0984886},n1:{2,0.985934:5,0.018505:2,0.930206}):{2,2.47564:7,0.2323:2,0.64075:7,0.178318:3,0.829195},n2:{3,3.01907:7,0.000859252:2,0.211989:7,0.0802774:3,2.04843:7,0.0203866:3,0.909835}):{3,0.172471:7,0.125682:2,1.15816:7,0.10957:3,0.979438:10,0.0364724:4,0.0617493:10,0.0266356:4,0.355445:10,0.161269:4,0.0856359},n3:{4,8.49277:10,0.0840075:4,0.986603});
1500	{2,1.03754:5,0.0249809:2,0.764523}	{1,0.827089:5,0.0215789:1,0.546875:5,0.00194468:2,0.429551}	{3,2.1714:7,0.0376016:2,1.61847:7,0.0251252:2,0.354746:7,0.0141108:2,1.04272}	{4,9.88165}	{2,0.240844:7,0.010799:3,1.79312:7,0.0103371:2,0.234426:7,0.029307:2,0.305836:7,0.0934121:2,0.719045}	{2,2.20941:7,0.0181043:3,0.273838:7,0.0597029:3,0.982096:10,0.0304473:4,1.04388}	{4,0}	(((n1:{2,1.03754:5,0.0249809:2,0.764523},n0:{1,0.827089:5,0.0215789:1,0.546875:5,0.00194468:2,0.429551}):{2,0.240844:7,0.010799:3,1.79312:7,0.0103371:2,0.234426:7,0.029307:2,0.305836:7,0.0934121:2,0.719045},n2:{3,2.1714:7,0.0376016:2,1.61847:7,0.0251252:2,0.354746:7,0.0141108:2,1.04272}):{2,2.20941:7,0.0181043:3,0.273838:7,0.0597029:3,0.982096:10,0.0304473:4,1.04388},n3:{4,9.88165});
1600	{2,0.101805:5,0.0101967:2,0.172364:5,0.00561806:2,2.02005}	{1,0.549809:5,0.0125538:2,1.74768}	{3,2.5512:7,0.0159278:3,3.66953}	{4,10.1398}	{2,0.981923:7,0.00411775:2,0.284325:7,0.00198858:3,0.734867:7,0.00203623:2,0.160527:7,0.00334148:2,0.843666:7,0.0078362:3,0.901989}	{3,2.94399:10,0.0440006:4,0.915185}	{4,0}	(((n0:{1,0.549809:5,0.0125538:2,1.74768},n1:{2,0.101805:5,0.0101967:2,0.172364:5,0.00561806:2,2.02005}):{2,0.981923:7,0.00411775:2,0.284325:7,0.00198858:3,0.734867:7,0.00203623:2,0.160527:7,0.00334148:2,0.843666:7,0.0078362:3,0.901989},n2:{3,2.5512:7,0.0159278:3,3.66953}):{3,2.94399:10,0.0440006:4,0.915185},n3:{4,10.1398});
1700	{2,0.221957:5,0.00107905:2,0.520456:5,0.0574416:1,0.151447:5,0.0117089:2,0.159261:5,0.00256544:1,0.183615}	{1,0.145051:5,0.0737223:2,0.197229:5,0.00529996:1,0.430805:5,0.0384126:2,0.324816:5,0.00362856:1,0.0905666}	{3,2.11272:7,0.0424926:3,1.37562:7,0.0139346:3,0.109427:7,0.0145737:3,0.343246:7,0.0615013:2,0.0705826:7,0.014062:2,0.404908:7,0.0378045:2,0.196602:7,0.00917717:3,0.198387:7,0.000143341:3,0.370288}	{4,2.10082:0,5.7721:4,0.106064:10,0.00658891:4,0.0944586:10,0.00535201:4,0.29955}	{1,0.146493:5,0.0360698:2,0.413578:5,0.03479:2,0.106569:5,0.0135406:2,0.373071:7,0.000807329:3,0.416592:7,0.0174747:2,0.08619:7,0.0360232:3,0.0143503:7,0.00737953:3,0.030354:7,0.0182703:3,0.16743:7,0.0281675:2,0.44364:7,0.00433049:2,0.343605:7,0.0141681:2,0.15377:7,0.00214376:3,0.191724:7,0.0355121:2,0.0830054:7,0.00033149:3,0.00650192:7,0.00623185:2,0.115101:7,0.00261796:3,0.716102}	{3,0.534447:7,0.0155313:2,1.01757:7,0.000696455:3,1.37357:10,0.00549047:4,0.0621701}	{4,0}	(((n1:{2,0.221957:5,0.00107905:2,0.520456:5,0.0574416:1,0.151447:5,0.0117089:2,0.159261:5,0.00256544:1,0.183615},n0:{1,0.145051:5,0.0737223:2,0.197229:5,0.00529996:1,0.430805:5,0.0384126:2,0.324816:5,0.00362856:1,0.0905666}):{1,0.146493:5,0.0360698:2,0.413578:5,0.03479:2,0.106569:5,0.0135406:2,0.373071:7,0.000807329:3,0.416592:7,0.0174747:2,0.08619:7,0.0360232:3,0.0143503:7,0.00737953:3,0.030354:7,0.0182703:3,0.16743:7,0.0281675:2,0.44364:7,0.00433049:2,0.343605:7,0.0141681:2,0.15377:7,0.00214376:3,0.191724:7,0.0355121:2,0.0830054:7,0.00033149:3,0.00650192:7,0.00623185:2,0.115101:7,0.00261796:3,0.716102},n2:{3,2.11272:7,0.0424926:3,1.37562:7,0.0139346:3,0.109427:7,0.0145737:3,0.343246:7,0.0615013:2,0.0705826:7,0.014062:2,0.404908:7,0.0378045:2,0.196602:7,0.00917717:3,0.198387:7,0.000143341:3,0.370288}):{3,0.534447:7,0.0155313:2,1.01757:7,0.000696455:3,1.37357:10,0.00549047:4,0.0621701},n3:{4,2.10082:0,5.7721:4,0.106064:10,0.00658891:4,0.0944586:10,0.00535201:4,0.29955});
1800	{2,0.230744:5,0.0226923:1,0.500678:5,0.0153824:1,0.273608:5,0.0234023:2,0.579503}	{1,0.689442:5,0.0180809:2,0.038018:5,0.0280627:1,0.676171:5,0.0239655:1,0.0807126:5,0.024361:1,0.0442637:5,0.00448662:2,0.0184465}	{3,2.17045:7,0.0631014:3,0.490925:7,0.0248608:3,0.0622377:7,0.011758:3,0.562065:7,0.00883204:2,0.0234658:7,0.00879434:3,0.0232224:7,0.00883397:2,0.171149:7,0.00837857:2,0.00343279:7,0.00643608:2,0.627322:7,0.0845565:2,0.026392:7,0.0110106:2,0.0950021:7,0.034846:3,0.223813:7,0.025832:3,0.16999:7,0.0252785:2,0.199378:7,0.0107278:2,1.12729:7,0.00961584:3,0.0198887:7,0.0083575:2,0.284317:7,0.00367688:3,0.488446:7,0.0280669:2,0.0499787:7,0.00889883:2,0.159339:7,0.00918968:3,0.697259:7,0.0010921:3,0.151962:10,0.0031177:3,0.0361164}	{4,8.47773:10,0.0641182:4,0.302749:10,0.0206432:3,0.0306589:10,0.0492313:3,0.423535:10,0.0254714:4,0.045007}	{2,0.863812:7,0.00651065:2,0.45552:7,0.00283735:3,0.405964:7,0.0028111:3,0.262124:7,0.00857662:3,0.740498:7,0.0138169:3,0.0597175:7,0.0431788:2,0.365144:7,0.0111815:2,0.137364:7,0.00651534:3,0.720559:7,0.0103662:2,0.216099:7,0.00819992:2,1.44122:7,0.00611861:2,0.0577633:7,0.0188167:2,0.166911:7,0.0112915:3,0.579776}	{3,0.790708:10,0.0271179:4,0.0503504:10,0.0398389:4,0.262417}	{4,0}	(((n1:{2,0.230744:5,0.0226923:1,0.500678:5,0.0153824:1,0.273608:5,0.0234023:2,0.579503},n0:{1,0.689442:5,0.0180809:2,0.038018:5,0.0280627:1,0.676171:5,0.0239655:1,0.0807126:5,0.024361:1,0.0442637:5,0.00448662:2,0.0184465}):{2,0.863812:7,0.00651065:2,0.45552:7,0.00283735:3,0.405964:7,0.0028111:3,0.262124:7,0.00857662:3,0.740498:7,0.0138169:3,0.0597175:7,0.0431788:2,0.365144:7,0.0111815:2,0.137364:7,0.00651534:3,0.720559:7,0.0103662:2,0.216099:7,0.00819992:2,1.44122:7,0.00611861:2,0.0577633:7,0.0188167:2,0.166911:7,0.0112915:3,0.579776},n2:{3,2.17045:7,0.0631014:3,0.490925:7,0.0248608:3,0.0622377:7,0.011758:3,0.562065:7,0.00883204:2,0.0234658:7,0.00879434:3,0.0232224:7,0.00883397:2,0.171149:7,0.00837857:2,0.00343279:7,0.00643608:2,0.627322:7,0.0845565:2,0.026392:7,0.0110106:2,0.0950021:7,0.034846:3,0.223813:7,0.025832:3,0.16999:7,0.0252785:2,0.199378:7,0.0107278:2,1.12729:7,0.00961584:3,0.0198887:7,0.0083575:2,0.284317:7,0.00367688:3,0.488446:7,0.0280669:2,0.0499787:7,0.00889883:2,0.159339:7,0.00918968:3,0.697259:7,0.0010921:3,0.151962:10,0.0031177:3,0.0361164}):{3,0.790708:10,0.0271179:4,0.0503504:10,0.0398389:4,0.262417},n3:{4,8.47773:10,0.0641182:4,0.302749:10,0.0206432:3,0.0306589:10,0.0492313:3,0.423535:10,0.0254714:4,0.045007});
1900	{0,1.39233:2,0.118088}	{0,1.49228:2,0.0181416}	{0,2.08642:3,0.00685276:0,5.73447:3,0.116486:0,0.423085:3,0.00744423}	{0,1.98593:4,0.107339:0,5.72763:4,0.123327:0,1.39199:4,0.0848731}	{0,0.547708:2,0.0351414:0,5.67448:3,0.17648:0,0.429574:3,0.000955189}	{0,1.01358:4,0.0327605}	{4,0}	(((n0:{0,1.49228:2,0.0181416},n1:{0,1.39233:2,0.118088}):{0,0.547708:2,0.0351414:0,5.67448:3,0.17648:0,0.429574:3,0.000955189},n2:{0,2.08642:3,0.00685276:0,5.73447:3,0.116486:0,0.423085:3,0.00744423}):{0,1.01358:4,0.0327605},n3:{0,1.98593:4,0.107339:0,5.72763:4,0.123327:0,1.39199:4,0.0848731});
2000	{2,1.49219}	{1,0.0060317:5,0.101244:1,0.138707:5,0.0322295:2,0.201652:5,0.0181583:2,0.0274814:5,0.0412125:1,0.456637:5,0.00247956:2,0.466357}	{3,2.28858:7,0.0871142:2,0.342678:7,0.0630574:2,0.30612:7,0.0747601:2,0.186946:7,0.0435318:3,0.0305579:7,0.107688:3,0.0318172:7,0.0128232:3,0.785376:7,0.0267904:3,0.421108:7,0.00294633:3,0.173981:7,0.0456957:3,0.451214:7,0.0901769:2,1.58558:7,0.11:3,0.0489094:7,0.00662677:2,0.0579815:7,0.0838172:2,0.15095:7,0.0220467:3,1.63183}	{4,9.59393:10,0.0627915:4,0.820185}	{2,0.167043:5,0.00796856:2,0.809235:7,0.0270568:3,0.0610761:7,0.00142943:3,0.289592:7,0.0147679:3,0.00860411:7,0.026253:2,1.24233:7,0.0679155:3,0.715332:7,0.0378286:2,0.0475655:7,0.0596471:3,0.012697:7,0.0853089:2,1.28448:7,0.0158799:3,0.113161:7,0.132225:3,0.320628:7,0.000577178:2,0.5363:7,0.000750267:3,0.268725:7,0.0388045:3,0.476277:10,0.0137205:3,0.895332}	{3,0.298397:10,0.009047:4,0.898766}	{4,0}	((n2:{3,2.28858:7,0.0871142:2,0.342678:7,0.0630574:2,0.30612:7,0.0747601:2,0.186946:7,0.0435318:3,0.0305579:7,0.107688:3,0.0318172:7,0.0128232:3,0.785376:7,0.0267904:3,0.421108:7,0.00294633:3,0.173981:7,0.0456957:3,0.451214:7,0.0901769:2,1.58558:7,0.11:3,0.0489094:7,0.00662677:2,0.0579815:7,0.0838172:2,0.15095:7,0.0220467:3,1.63183},(n1:{2,1.49219},n0:{1,0.0060317:5,0.101244:1,0.138707:5,0.0322295:2,0.201652:5,0.0181583:2,0.0274814:5,0.0412125:1,0.456637:5,0.00247956:2,0.466357}):{2,0.167043:5,0.00796856:2,0.809235:7,0.0270568:3,0.0610761:7,0.00142943:3,0.289592:7,0.0147679:3,0.00860411:7,0.026253:2,1.24233:7,0.0679155:3,0.715332:7,0.0378286:2,0.0475655:7,0.0596471:3,0.012697:7,0.0853089:2,1.28448:7,0.0158799:3,0.113161:7,0.132225:3,0.320628:7,0.000577178:2,0.5363:7,0.000750267:3,0.268725:7,0.0388045:3,0.476277:10,0.0137205:3,0.895332}):{3,0.298397:10,0.009047:4,0.898766},n3:{4,9.59393:10,0.0627915:4,0.820185});
